Headline,Publication,DateTime,Link,Category,Ideology
r.s.v. vaccines may slightly increase risk of rare neurological condition,New York Times,2024-02-29 17:58:28+00:00,https://news.google.com/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMjkvaGVhbHRoL3Jzdi12YWNjaW5lLWd1aWxsYWluLWJhcnJlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
cdc panel is investigating whether rsv vaccine made by pfizer is causing rare paralysis condition guillain-bar,Daily Mail,2024-03-01 00:00:00+00:00,https://news.google.com/articles/CBMinAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtMTMxNDMyODkvQ0RDLXBhbmVsLWludmVzdGlnYXRpbmctUlNWLXZhY2NpbmUtUGZpemVyLWNhdXNpbmctcmFyZS1wYXJhbHlzaXMtY29uZGl0aW9uLUd1aWxsYWluLUJhcnJlLXN5bmRyb21lLmh0bWzSAaABaHR0cHM6Ly93d3cuZGFpbHltYWlsLmNvLnVrL2hlYWx0aC9hcnRpY2xlLTEzMTQzMjg5L2FtcC9DREMtcGFuZWwtaW52ZXN0aWdhdGluZy1SU1YtdmFjY2luZS1QZml6ZXItY2F1c2luZy1yYXJlLXBhcmFseXNpcy1jb25kaXRpb24tR3VpbGxhaW4tQmFycmUtc3luZHJvbWUuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
"the covid-19 pandemic killed off one strain of the flu, and that will change the next vaccines",CNN,2024-03-05 20:51:00+00:00,https://news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMy8wNS9oZWFsdGgvZmx1LXZhY2NpbmUteWFtYWdhdGEtc3RyYWlucy9pbmRleC5odG1s0gFRaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wMy8wNS9oZWFsdGgvZmx1LXZhY2NpbmUteWFtYWdhdGEtc3RyYWlucy9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
‘hypervaccinated’ man reportedly received 217 covid jabs without side-effects,The Guardian,2024-03-06 01:55:28+00:00,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zb2NpZXR5LzIwMjQvbWFyLzA2L2h5cGVydmFjY2luYXRlZC1tYW4tMjE3LWNvdmlkLWphYnMtbm8tc2lkZS1lZmZlY3RzLWdlcm1hbnnSAWpodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vc29jaWV0eS8yMDI0L21hci8wNi9oeXBlcnZhY2NpbmF0ZWQtbWFuLTIxNy1jb3ZpZC1qYWJzLW5vLXNpZGUtZWZmZWN0cy1nZXJtYW55?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"covid vaccines cut risk of virus-related heart failure and blood clots, study finds",The Guardian,2024-03-12 23:30:00+00:00,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zY2llbmNlLzIwMjQvbWFyLzEyL2NvdmlkLXZhY2NpbmVzLWN1dC1yaXNrLXZpcnVzLXJlbGF0ZWQtaGVhcnQtZmFpbHVyZS1ibG9vZC1jbG90cy1zdHVkedIBdWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9zY2llbmNlLzIwMjQvbWFyLzEyL2NvdmlkLXZhY2NpbmVzLWN1dC1yaXNrLXZpcnVzLXJlbGF0ZWQtaGVhcnQtZmFpbHVyZS1ibG9vZC1jbG90cy1zdHVkeQ?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
all eligible people at chicago migrant shelter have been vaccinated for measles in ‘unprecedented operation’,CNN,2024-03-14 20:04:00+00:00,https://news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMy8xMy9oZWFsdGgvY2hpY2Fnby1taWdyYW50LXNoZWx0ZXItbWVhc2xlcy12YWNjaW5hdGVkLWluLXVucHJlY2VkZW50ZWQtb3BlcmF0aW9uL2luZGV4Lmh0bWzSAXpodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzAzLzEzL2hlYWx0aC9jaGljYWdvLW1pZ3JhbnQtc2hlbHRlci1tZWFzbGVzLXZhY2NpbmF0ZWQtaW4tdW5wcmVjZWRlbnRlZC1vcGVyYXRpb24vaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
scientists are making a 'groundbreaking' lung cancer vaccine that could prevent up to 90% of cases,Daily Mail,2024-03-21 23:30:52+00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMzIyNDQzOS9DYW5jZXItdmFjY2luZS1BSS10cmlhbHMtZWZmZWN0aXZlLWx1bmctY2FuY2VyLmh0bWzSAWtodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtMTMyMjQ0MzkvYW1wL0NhbmNlci12YWNjaW5lLUFJLXRyaWFscy1lZmZlY3RpdmUtbHVuZy1jYW5jZXIuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
mpox cases in the us are on the rise as vaccination rates lag and new threats loom,CNN,2024-03-28 10:30:00+00:00,https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wMy8yOC9oZWFsdGgvbXBveC11c2EtY2FzZXMtdmFjY2luYXRpb24tcmF0ZS9pbmRleC5odG1s0gFJaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wMy8yOC9oZWFsdGgvbXBveC11c2EtY2FzZXMtdmFjY2luYXRpb24tcmF0ZQ?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
the push for a better dengue vaccine grows more urgent,New York Times,2024-04-12 00:35:07+00:00,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDQvMTEvaGVhbHRoL2Rlbmd1ZS12YWNjaW5lLWJyYXppbC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
‘i felt pains all over my body’: argentina battles dengue outbreak as politicians pass up vaccine opportunity,The Guardian,2024-04-12 13:15:00+00:00,https://news.google.com/articles/CBMipQFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vZ2xvYmFsLWRldmVsb3BtZW50LzIwMjQvYXByLzEyL2ktZmVsdC1wYWlucy1hbGwtb3Zlci1teS1ib2R5LWFyZ2VudGluYS1iYXR0bGVzLWRlbmd1ZS1vdXRicmVhay1hcy1wb2xpdGljaWFucy1wYXNzLXVwLXZhY2NpbmUtb3Bwb3J0dW5pdHnSAaUBaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2dsb2JhbC1kZXZlbG9wbWVudC8yMDI0L2Fwci8xMi9pLWZlbHQtcGFpbnMtYWxsLW92ZXItbXktYm9keS1hcmdlbnRpbmEtYmF0dGxlcy1kZW5ndWUtb3V0YnJlYWstYXMtcG9saXRpY2lhbnMtcGFzcy11cC12YWNjaW5lLW9wcG9ydHVuaXR5?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
georgia health officials link third measles case to unvaccinated international traveler,FOX,2024-04-12 14:15:00+00:00,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9nZW9yZ2lhLWhlYWx0aC1vZmZpY2lhbHMtbGluay10aGlyZC1tZWFzbGVzLWNhc2UtdW52YWNjaW5hdGVkLWludGVybmF0aW9uYWwtdHJhdmVsZXLSAXdodHRwczovL3d3dy5mb3huZXdzLmNvbS9oZWFsdGgvZ2VvcmdpYS1oZWFsdGgtb2ZmaWNpYWxzLWxpbmstdGhpcmQtbWVhc2xlcy1jYXNlLXVudmFjY2luYXRlZC1pbnRlcm5hdGlvbmFsLXRyYXZlbGVyLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
"with whooping cough cases on the rise, do you need a booster vaccine?",FOX,2024-04-22 22:04:00+00:00,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC93aG9vcGluZy1jb3VnaC1jYXNlcy1yaXNlLWRvLXlvdS1uZWVkLWJvb3N0ZXItdmFjY2luZdIBWGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC93aG9vcGluZy1jb3VnaC1jYXNlcy1yaXNlLWRvLXlvdS1uZWVkLWJvb3N0ZXItdmFjY2luZS5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
'game-changer' cancer jab offers hope of a cure: nhs launches trial of world's first personalised vaccine to d,Daily Mail,2024-04-25 23:01:49+00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMzM1MDE5MS9jYW5jZXItdmFjY2luZS1tZWxhbm9tYS1icmVha3Rocm91Z2gtTkhTLXRyaWFsLmh0bWzSAWtodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtMTMzNTAxOTEvYW1wL2NhbmNlci12YWNjaW5lLW1lbGFub21hLWJyZWFrdGhyb3VnaC1OSFMtdHJpYWwuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
‘real hope’ for cancer cure as personal mrna vaccine for melanoma trialled,The Guardian,2024-04-26 04:00:00+00:00,https://news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zb2NpZXR5LzIwMjQvYXByLzI2L2NhbmNlci1tcm5hLXZhY2NpbmUtbWVsYW5vbWEtdHJpYWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"astrazeneca withdraws covid-19 vaccine, citing low demand",CNN,2024-05-08 15:47:00+00:00,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNS8wOC9idXNpbmVzcy9hc3RyYXplbmVjYS1jb3ZpZC12YWNjaW5lLXdpdGhkcmF3YWwvaW5kZXguaHRtbNIBUGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDUvMDgvYnVzaW5lc3MvYXN0cmF6ZW5lY2EtY292aWQtdmFjY2luZS13aXRoZHJhd2Fs?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
"astrazeneca withdraws covid vaccine worldwide, citing low demand",New York Times,2024-05-08 16:59:46+00:00,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDUvMDgvYnVzaW5lc3MvYXN0cmF6ZW5lY2Etd2l0aGRyYXdzLWNvdmlkLXZhY2NpbmUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
"what to know about new covid variants, ‘flirt’: symptoms, vaccines and more",New York Times,2024-05-10 15:24:09+00:00,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDUvMTAvd2VsbC9jb3ZpZC1mbGlydC12YXJpYW50cy1zeW1wdG9tcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
the extraordinary promise of personalised cancer vaccines – podcast,The Guardian,2024-05-02 04:00:50+00:00,https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zY2llbmNlL2F1ZGlvLzIwMjQvbWF5LzAyL2V4dHJhb3JkaW5hcnktcHJvbWlzZS1wZXJzb25hbGlzZWQtY2FuY2VyLXZhY2NpbmVz0gEA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"mother reveals vaccinated son, 3, caught measles in chicago outbreak linked to overrun migrant shelter: 'i tho",Daily Mail,2024-05-02 15:19:07+00:00,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMzM0NTc4My9tb3RoZXItbWVhc2xlcy1vdXRicmVhay1jaGljYWdvLW1pZ3JhbnRzLmh0bWzSAWVodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtMTMzNDU3ODMvYW1wL21vdGhlci1tZWFzbGVzLW91dGJyZWFrLWNoaWNhZ28tbWlncmFudHMuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
thousands believe covid vaccines harmed them. is anyone listening?,New York Times,2024-05-04 07:00:00+00:00,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDUvMDMvaGVhbHRoL2NvdmlkLXZhY2NpbmVzLXNpZGUtZWZmZWN0cy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
scientists create vaccine with potential to protect against future coronaviruses,The Guardian,2024-05-06 15:31:00+00:00,https://news.google.com/articles/CBMigAFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vc29jaWV0eS9hcnRpY2xlLzIwMjQvbWF5LzA2L3NjaWVudGlzdHMtY3JlYXRlLXZhY2NpbmUtcG90ZW50aWFsLXByb3RlY3QtYWdhaW5zdC1mdXR1cmUtY29yb25hdmlydXNlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"as cholera cases rise worldwide, health officials sound 'concerning' alarm about vaccine shortages",FOX,2024-05-06 21:24:00+00:00,https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9jaG9sZXJhLWNhc2VzLXJpc2Utd29ybGR3aWRlLWhlYWx0aC1vZmZpY2lhbHMtc291bmQtYWxhcm0tdmFjY2luZS1zaG9ydGFnZXPSAW5odHRwczovL3d3dy5mb3huZXdzLmNvbS9oZWFsdGgvY2hvbGVyYS1jYXNlcy1yaXNlLXdvcmxkd2lkZS1oZWFsdGgtb2ZmaWNpYWxzLXNvdW5kLWFsYXJtLXZhY2NpbmUtc2hvcnRhZ2VzLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Health,Conservative
cdc urges meningococcal disease vaccination ahead of hajj travel,CNN,2024-05-21 10:54:00+00:00,https://news.google.com/articles/CBMiU2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNS8yMC9oZWFsdGgvbWVuaW5nb2NvY2NhbC1kaXNlYXNlLXNhdWRpLWFyYWJpYS9pbmRleC5odG1s0gFMaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wNS8yMC9oZWFsdGgvbWVuaW5nb2NvY2NhbC1kaXNlYXNlLXNhdWRpLWFyYWJpYQ?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
what are cancer vaccines and have scientists finally found a cure?,The Guardian,2024-05-31 01:30:00+00:00,https://news.google.com/articles/CBMieWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9zY2llbmNlL2FydGljbGUvMjAyNC9tYXkvMzEvd2hhdC1hcmUtY2FuY2VyLXZhY2NpbmVzLWFuZC1oYXZlLXNjaWVudGlzdHMtZmluYWxseS1mb3VuZC1hLWN1cmXSAXlodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vc2NpZW5jZS9hcnRpY2xlLzIwMjQvbWF5LzMxL3doYXQtYXJlLWNhbmNlci12YWNjaW5lcy1hbmQtaGF2ZS1zY2llbnRpc3RzLWZpbmFsbHktZm91bmQtYS1jdXJl?hl=en-US&gl=US&ceid=US%3Aen,Health,Liberal
"astrazeneca withdraws covid-19 vaccine worldwide, citing surplus of newer vaccines",The Guardian,2024-05-08 03:06:00+00:00,https://news.google.com/articles/CBMiigFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vYnVzaW5lc3MvYXJ0aWNsZS8yMDI0L21heS8wOC9hc3RyYXplbmVjYS13aXRoZHJhd3MtY292aWQtMTktdmFjY2luZS13b3JsZHdpZGUtY2l0aW5nLXN1cnBsdXMtb2YtbmV3ZXItdmFjY2luZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,Worldwide,Liberal
fda approves moderna’s mrna rsv vaccine for older adults,CNN,2024-05-31 18:58:00+00:00,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNS8zMS9oZWFsdGgvbW9kZXJuYS1yc3YtdmFjY2luZS1mZGEtYXBwcm92YWwvaW5kZXguaHRtbNIBSmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDUvMzEvaGVhbHRoL21vZGVybmEtcnN2LXZhY2NpbmUtZmRhLWFwcHJvdmFs?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
new covid vaccine endorsed for fall,New York Times,2024-06-05 20:21:20+00:00,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDYvMDUvaGVhbHRoL2NvdmlkLXZhY2NpbmUtYXV0dW1uLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
fda vaccine advisers vote unanimously in favor of updated covid-19 shot for fall,CNN,2024-06-05 22:15:00+00:00,https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNi8wNS9oZWFsdGgvZmRhLXZhY2NpbmUtYWR2aXNlcnMtY292aWQtc2hvdC9pbmRleC5odG1s0gFJaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wNi8wNS9oZWFsdGgvZmRhLXZhY2NpbmUtYWR2aXNlcnMtY292aWQtc2hvdA?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
the fda tells covid-19 vaccine makers to update shot to target the variant currently in circulation,CNN,2024-06-07 22:48:00+00:00,https://news.google.com/articles/CBMiU2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNi8wNy9oZWFsdGgvZmRhLXVwZGF0ZWQtY292aWQtdmFjY2luZS1mb3ItZmFsbC9pbmRleC5odG1s0gFMaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wNi8wNy9oZWFsdGgvZmRhLXVwZGF0ZWQtY292aWQtdmFjY2luZS1mb3ItZmFsbA?hl=en-US&gl=US&ceid=US%3Aen,Business,Liberal
"covid vaccine companies told to focus on kp.2 variant for fall shots, per fda announcement",FOX,2024-06-15 10:56:00+00:00,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9jb3ZpZC12YWNjaW5lLWNvbXBhbmllcy10b2xkLWZvY3VzLWtwMi12YXJpYW50LWZhbGwtc2hvdHMtZmRhLWFubm91bmNlbWVudNIBbWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL2hlYWx0aC9jb3ZpZC12YWNjaW5lLWNvbXBhbmllcy10b2xkLWZvY3VzLWtwMi12YXJpYW50LWZhbGwtc2hvdHMtZmRhLWFubm91bmNlbWVudC5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Business,Conservative
"fauci grilled by lawmakers on masks, vaccine mandates and lab leak theory",New York Times,2024-06-03 09:04:24+00:00,https://news.google.com/articles/CBMiS2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDYvMDMvc2NpZW5jZS9mYXVjaS1oZWFyaW5nLWNvdmlkLW9yaWdpbnMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
"covid-flu combination vaccine shows positive results in late-stage trial, moderna says",CNN,2024-06-10 12:10:00+00:00,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNi8xMC9oZWFsdGgvbW9kZXJuYS1jb3ZpZC1mbHUtY29tYmluYXRpb24tdmFjY2luZS1wb3NpdGl2ZS1yZXN1bHRzL2luZGV4Lmh0bWzSAWBodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzA2LzEwL2hlYWx0aC9tb2Rlcm5hLWNvdmlkLWZsdS1jb21iaW5hdGlvbi12YWNjaW5lLXBvc2l0aXZlLXJlc3VsdHM?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
us government inks a deal with moderna to make pandemic flu vaccine,CNN,2024-07-02 19:15:00+00:00,https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8wMi9oZWFsdGgvbW9kZXJuYS1tcm5hLWJpcmQtZmx1LXZhY2NpbmUvaW5kZXguaHRtbNIBR2h0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDcvMDIvaGVhbHRoL21vZGVybmEtbXJuYS1iaXJkLWZsdS12YWNjaW5l?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
trump and rfk jr. discuss vaccine skepticism in since-deleted video,CNN,2024-07-16 19:20:00+00:00,https://news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8xNi9wb2xpdGljcy92aWRlby90cnVtcC1yZmstanItdmFjY2luZXMtbGVha2VkLXBob25lLWNhbGwtZGlndmlk0gEA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Liberal
